star_mag,impacted_area,total_area,band,fa_x,fa_y
-3.0,2974020616.853001,4006634500.0000024,z,0,0.026179938779914945
-3.0,3492919850.9480014,4006634500.0000024,i,0,0.026179938779914945
-3.0,3628211878.109502,4006634500.0000024,r,0,0.017453292519943295
-3.0,3666811794.882502,4006634500.0000024,g,0,0.026179938779914945
-3.0,3599953084.9810014,4006634500.0000024,r,0,0.026179938779914945
-3.0,3475306685.6860013,4006634500.0000024,z,0,0
-3.0,3665193114.5445023,4006634500.0000024,r,0,0.013089969389957472
-3.0,3707835725.528002,4006634500.0000024,r,0,0.008726646259971648
-3.0,3178126591.552002,4006634500.0000024,i,0,0
-3.0,3708512846.758502,4006634500.0000024,r,0,0
-3.0,3660857936.0155025,4006634500.0000024,r,0,0.02181661564992912
-3.0,1967686249.391501,4006634500.0000024,y,0,0.026179938779914945
-3.0,3748887702.615002,4006634500.0000024,g,0,0
-3.0,2306779747.030001,4006634500.0000024,y,0,0
-2.9,2637695703.6540017,4006634500.0000024,z,0,0.026179938779914945
-2.9,3488476493.287502,4006634500.0000024,i,0,0.026179938779914945
-2.9,3515929952.8815017,4006634500.0000024,r,0,0.017453292519943295
-2.9,3652448010.200002,4006634500.0000024,g,0,0.026179938779914945
-2.9,3571249555.4230022,4006634500.0000024,r,0,0.026179938779914945
-2.9,3392333291.8255014,4006634500.0000024,z,0,0
-2.9,3549233098.845502,4006634500.0000024,r,0,0.013089969389957472
-2.9,3630595825.6370015,4006634500.0000024,r,0,0.008726646259971648
-2.9,3178126591.552002,4006634500.0000024,i,0,0
-2.9,3660857936.0155025,4006634500.0000024,r,0,0.02181661564992912
-2.9,3634582426.964502,4006634500.0000024,r,0,0
-2.9,1967686249.391501,4006634500.0000024,y,0,0.026179938779914945
-2.9,3747946143.507501,4006634500.0000024,g,0,0
-3.0,3646978954.107502,4006634500.0000024,u,0,0.026179938779914945
-2.8,2637695703.6540017,4006634500.0000024,z,0,0.026179938779914945
-2.8,3484846482.4305015,4006634500.0000024,i,0,0.026179938779914945
-3.0,3745169545.7990017,4006634500.0000024,u,0,0
-2.8,3401372259.2575016,4006634500.0000024,r,0,0.017453292519943295
-2.8,3651686749.645002,4006634500.0000024,g,0,0.026179938779914945
-2.8,3526034685.0905023,4006634500.0000024,r,0,0.026179938779914945
-2.8,3392333291.8255014,4006634500.0000024,z,0,0
-2.8,3435516798.4665017,4006634500.0000024,r,0,0.013089969389957472
-2.8,3443021224.8850017,4006634500.0000024,r,0,0.008726646259971648
-2.9,2306779747.030001,4006634500.0000024,y,0,0
-2.8,3629353768.942002,4006634500.0000024,r,0,0.02181661564992912
-2.8,3178126591.552002,4006634500.0000024,i,0,0
-2.8,3566181162.780502,4006634500.0000024,r,0,0
-2.6999999999999997,2637695703.6540017,4006634500.0000024,z,0,0.026179938779914945
-2.6999999999999997,3336681138.620502,4006634500.0000024,i,0,0.026179938779914945
-2.8,1967686249.391501,4006634500.0000024,y,0,0.026179938779914945
-2.8,3747946143.507501,4006634500.0000024,g,0,0
-2.6999999999999997,3401372259.2575016,4006634500.0000024,r,0,0.017453292519943295
-2.6999999999999997,3630139069.304002,4006634500.0000024,g,0,0.026179938779914945
-2.6999999999999997,3526034685.0905023,4006634500.0000024,r,0,0.026179938779914945
-2.6999999999999997,3170810476.9550014,4006634500.0000024,z,0,0
-2.6999999999999997,3435516798.4665017,4006634500.0000024,r,0,0.013089969389957472
-2.6999999999999997,3443021224.8850017,4006634500.0000024,r,0,0.008726646259971648
-2.5999999999999996,2637695703.6540017,4006634500.0000024,z,0,0.026179938779914945
-2.6999999999999997,3566181162.780502,4006634500.0000024,r,0,0
-2.6999999999999997,3178126591.552002,4006634500.0000024,i,0,0
-2.6999999999999997,3544148679.665002,4006634500.0000024,r,0,0.02181661564992912
-2.5999999999999996,3323451231.5015016,4006634500.0000024,i,0,0.026179938779914945
-2.8,2306779747.030001,4006634500.0000024,y,0,0
-2.5999999999999996,3401372259.2575016,4006634500.0000024,r,0,0.017453292519943295
-2.6999999999999997,1967686249.391501,4006634500.0000024,y,0,0.026179938779914945
-2.6999999999999997,3745802594.050002,4006634500.0000024,g,0,0
-2.9,3646978954.107502,4006634500.0000024,u,0,0.026179938779914945
-2.5999999999999996,3630139069.304002,4006634500.0000024,g,0,0.026179938779914945
-2.5999999999999996,3526034685.0905023,4006634500.0000024,r,0,0.026179938779914945
-2.5999999999999996,3037149150.0350013,4006634500.0000024,z,0,0
-2.4999999999999996,2637695703.6540017,4006634500.0000024,z,0,0.026179938779914945
-2.5999999999999996,3435516798.4665017,4006634500.0000024,r,0,0.013089969389957472
-2.5999999999999996,3443021224.8850017,4006634500.0000024,r,0,0.008726646259971648
-2.4999999999999996,3323451231.5015016,4006634500.0000024,i,0,0.026179938779914945
-2.5999999999999996,3355215829.8175015,4006634500.0000024,r,0,0
-2.5999999999999996,3177241125.3275013,4006634500.0000024,i,0,0
-2.5999999999999996,3544148679.665002,4006634500.0000024,r,0,0.02181661564992912
-2.4999999999999996,3401372259.2575016,4006634500.0000024,r,0,0.017453292519943295
-2.9,3726049885.9650016,4006634500.0000024,u,0,0
-2.3999999999999995,2637695703.6540017,4006634500.0000024,z,0,0.026179938779914945
-2.4999999999999996,3606087242.400502,4006634500.0000024,g,0,0.026179938779914945
-2.4999999999999996,3493204321.997502,4006634500.0000024,r,0,0.026179938779914945
-2.5999999999999996,1967686249.391501,4006634500.0000024,y,0,0.026179938779914945
-2.4999999999999996,2935637058.3430014,4006634500.0000024,z,0,0
-2.5999999999999996,3743194274.990502,4006634500.0000024,g,0,0
-2.4999999999999996,3435516798.4665017,4006634500.0000024,r,0,0.013089969389957472
-2.3999999999999995,2951158760.396002,4006634500.0000024,i,0,0.026179938779914945
-2.6999999999999997,2306779747.030001,4006634500.0000024,y,0,0
-2.4999999999999996,3443021224.8850017,4006634500.0000024,r,0,0.008726646259971648
-2.4999999999999996,3355215829.8175015,4006634500.0000024,r,0,0
-2.4999999999999996,3177241125.3275013,4006634500.0000024,i,0,0
-2.4999999999999996,3516971677.851502,4006634500.0000024,r,0,0.02181661564992912
-2.2999999999999994,2637695703.6540017,4006634500.0000024,z,0,0.026179938779914945
-2.3999999999999995,3401372259.2575016,4006634500.0000024,r,0,0.017453292519943295
-2.3999999999999995,3549778001.1375017,4006634500.0000024,g,0,0.026179938779914945
-2.3999999999999995,3493204321.997502,4006634500.0000024,r,0,0.026179938779914945
-2.2999999999999994,2843716849.644001,4006634500.0000024,i,0,0.026179938779914945
-2.3999999999999995,2935637058.3430014,4006634500.0000024,z,0,0
-2.3999999999999995,3435516798.4665017,4006634500.0000024,r,0,0.013089969389957472
-2.3999999999999995,3443021224.8850017,4006634500.0000024,r,0,0.008726646259971648
-2.4999999999999996,1967686249.391501,4006634500.0000024,y,0,0.026179938779914945
-2.4999999999999996,3725044220.7055025,4006634500.0000024,g,0,0
-2.8,3646978954.107502,4006634500.0000024,u,0,0.026179938779914945
-2.1999999999999993,2637695703.6540017,4006634500.0000024,z,0,0.026179938779914945
-2.3999999999999995,3355215829.8175015,4006634500.0000024,r,0,0
-2.3999999999999995,3177241125.3275013,4006634500.0000024,i,0,0
-2.3999999999999995,3516971677.851502,4006634500.0000024,r,0,0.02181661564992912
-2.2999999999999994,3401372259.2575016,4006634500.0000024,r,0,0.017453292519943295
-2.5999999999999996,2306779747.030001,4006634500.0000024,y,0,0
-2.1999999999999993,2450645972.021501,4006634500.0000024,i,0,0.026179938779914945
-2.2999999999999994,3549778001.1375017,4006634500.0000024,g,0,0.026179938779914945
-2.2999999999999994,3493204321.997502,4006634500.0000024,r,0,0.026179938779914945
-2.2999999999999994,2935637058.3430014,4006634500.0000024,z,0,0
-2.2999999999999994,3435516798.4665017,4006634500.0000024,r,0,0.013089969389957472
-2.2999999999999994,3443021224.8850017,4006634500.0000024,r,0,0.008726646259971648
-2.099999999999999,1921397601.013001,4006634500.0000024,z,0,0.026179938779914945
-2.3999999999999995,1967686249.391501,4006634500.0000024,y,0,0.026179938779914945
-2.3999999999999995,3703019750.8590016,4006634500.0000024,g,0,0
-2.2999999999999994,3177241125.3275013,4006634500.0000024,i,0,0
-2.2999999999999994,3355215829.8175015,4006634500.0000024,r,0,0
-2.1999999999999993,3401372259.2575016,4006634500.0000024,r,0,0.017453292519943295
-2.8,3726049885.9650016,4006634500.0000024,u,0,0
-2.2999999999999994,3516971677.851502,4006634500.0000024,r,0,0.02181661564992912
-2.099999999999999,2450645972.021501,4006634500.0000024,i,0,0.026179938779914945
-2.1999999999999993,3397762281.5730023,4006634500.0000024,g,0,0.026179938779914945
-2.1999999999999993,3493204321.997502,4006634500.0000024,r,0,0.026179938779914945
-2.1999999999999993,2935637058.3430014,4006634500.0000024,z,0,0
-2.1999999999999993,3435516798.4665017,4006634500.0000024,r,0,0.013089969389957472
-1.9999999999999991,1657160055.7380006,4006634500.0000024,z,0,0.026179938779914945
-2.4999999999999996,2306779747.030001,4006634500.0000024,y,0,0
-2.1999999999999993,3443021224.8850017,4006634500.0000024,r,0,0.008726646259971648
-2.099999999999999,3234355700.1250014,4006634500.0000024,r,0,0.017453292519943295
-2.2999999999999994,1921329488.2265007,4006634500.0000024,y,0,0.026179938779914945
-1.9999999999999991,2450645972.021501,4006634500.0000024,i,0,0.026179938779914945
-2.1999999999999993,3355215829.8175015,4006634500.0000024,r,0,0
-2.1999999999999993,2963150617.4545016,4006634500.0000024,i,0,0
-2.1999999999999993,3516971677.851502,4006634500.0000024,r,0,0.02181661564992912
-2.2999999999999994,3673583007.1875024,4006634500.0000024,g,0,0
-2.6999999999999997,3646978954.107502,4006634500.0000024,u,0,0.026179938779914945
-2.099999999999999,3397762281.5730023,4006634500.0000024,g,0,0.026179938779914945
-2.099999999999999,3493204321.997502,4006634500.0000024,r,0,0.026179938779914945
-1.899999999999999,1657160055.7380006,4006634500.0000024,z,0,0.026179938779914945
-2.099999999999999,2935637058.3430014,4006634500.0000024,z,0,0
-2.099999999999999,3305481475.7690015,4006634500.0000024,r,0,0.013089969389957472
