visit,impacted_area,total_area,band
2025071800519,0.0,4006634500.0000014,i
2025071800520,0.0,4006634500.0000014,i
2025071800522,0.0,4006634500.0000014,i
2025071800524,0.0,4006634500.0000014,i
2025071800525,0.0,4006634500.0000014,i
2025071800526,16006504.827500008,4006634500.0000014,i
2025071800527,18406478.89300001,4006634500.0000014,i
2025071800528,0.0,4006634500.0000014,i
2025071800529,17937702.656500008,4006634500.0000014,i
2025071900276,0.0,4006634500.0000014,u
2025071900277,4407297.950000002,4006634500.0000014,u
2025071900278,119646119.43900006,4006634500.0000014,u
2025071900279,0.0,4006634500.0000014,u
2025071900280,693917042.3240004,4006634500.0000014,u
2025071900281,15481635.708000006,4006634500.0000014,u
2025071900283,206521975.3025001,4006634500.0000014,u
2025071900284,169664944.53700012,4006634500.0000014,u
2025071900287,19732674.91250001,4006634500.0000014,g
2025071900288,0.0,4006634500.0000014,g
2025071900291,0.0,4006634500.0000014,g
2025071900292,0.0,4006634500.0000014,g
2025071900293,109485294.34700006,4006634500.0000014,g
2025071900294,64995624.85900004,4006634500.0000014,g
2025071900296,38047001.21200002,4006634500.0000014,g
2025071900393,8554164.657500004,4006634500.0000014,u
2025071900394,8550158.023000004,4006634500.0000014,u
2025071900395,8550158.023000004,4006634500.0000014,u
2025071900396,8574197.830000004,4006634500.0000014,u
2025071900397,8594231.002500003,4006634500.0000014,u
2025071900398,8594231.002500003,4006634500.0000014,u
2025071900418,19376084.44200001,4006634500.0000014,g
2025090200363,,4006634500.0000014,i
2025090200364,,4006634500.0000014,i
2025090200365,,4006634500.0000014,i
2025090200366,,4006634500.0000014,i
2025090200367,,4006634500.0000014,g
2025090200368,,4006634500.0000014,g
2025090200369,,4006634500.0000014,g
2025090200370,,4006634500.0000014,g
2025090200371,,4006634500.0000014,g
2025090400085,,4006634500.0000014,r
2025090400086,,4006634500.0000014,r
2025090400087,,4006634500.0000014,r
2025090400088,,4006634500.0000014,r
2025090400089,,4006634500.0000014,r
2025090400090,,4006634500.0000014,r
2025090400091,,4006634500.0000014,r
2025090400092,,4006634500.0000014,r
2025090400093,,4006634500.0000014,z
2025090400094,,4006634500.0000014,z
2025090400095,,4006634500.0000014,z
2025090400096,,4006634500.0000014,z
2025090400097,,4006634500.0000014,z
2025090400098,,4006634500.0000014,z
2025090400099,,4006634500.0000014,z
2025090400100,,4006634500.0000014,z
2025090400101,,4006634500.0000014,z
2025090400102,,4006634500.0000014,r
2025090400103,,4006634500.0000014,r
2025090400104,,4006634500.0000014,r
2025090400109,,4006634500.0000014,r
2025080900308,0.0,4006634500.0000014,i
2025080900309,0.0,4006634500.0000014,i
2025080900310,103411236.44500004,4006634500.0000014,i
2025080900311,0.0,4006634500.0000014,i
2025080900312,80841864.30650003,4006634500.0000014,i
2025080900313,0.0,4006634500.0000014,i
2025080900314,0.0,4006634500.0000014,z
2025080900315,67800269.00900003,4006634500.0000014,z
2025080900316,83606442.11150005,4006634500.0000014,z
2025080900317,0.0,4006634500.0000014,z
2025080900318,0.0,4006634500.0000014,z
2025080900319,0.0,4006634500.0000014,z
2025080900320,16018524.731000008,4006634500.0000014,z
2025080900321,0.0,4006634500.0000014,z
2025080900322,0.0,4006634500.0000014,z
2025080900323,0.0,4006634500.0000014,z
2025080900324,55151323.89250002,4006634500.0000014,z
2025080900325,0.0,4006634500.0000014,z
2025080900326,0.0,4006634500.0000014,z
2025080900327,0.0,4006634500.0000014,z
2025080900328,0.0,4006634500.0000014,z
2025080900329,0.0,4006634500.0000014,z
2025080900330,0.0,4006634500.0000014,z
2025080900331,0.0,4006634500.0000014,z
2025080900332,0.0,4006634500.0000014,z
2025080900333,0.0,4006634500.0000014,z
2025080900334,0.0,4006634500.0000014,z
2025080900335,0.0,4006634500.0000014,z
2025080900336,0.0,4006634500.0000014,z
2025080900337,0.0,4006634500.0000014,z
2025080900338,0.0,4006634500.0000014,z
2025071700255,2175602.5335000013,4006634500.0000014,r
2025071700256,2235702.0510000014,4006634500.0000014,r
2025071700257,2251728.589000001,4006634500.0000014,r
2025071700258,26836437.88100001,4006634500.0000014,r
2025071700259,4503457.178000002,4006634500.0000014,r
2025071700260,4311138.722000002,4006634500.0000014,r
2025071700261,2179609.168000001,4006634500.0000014,r
2025071700265,2083449.9400000009,4006634500.0000014,r
2025071700266,20962711.70400001,4006634500.0000014,r
2025071700267,69511101.94050002,4006634500.0000014,r
2025071700268,1270103.1365000007,4006634500.0000014,r
2025071700269,26407727.98950001,4006634500.0000014,r
2025071700270,6530814.235000002,4006634500.0000014,r
2025071700345,0.0,4006634500.0000014,g
2025071700346,,4006634500.0000014,g
2025071700347,0.0,4006634500.0000014,g
2025071700348,0.0,4006634500.0000014,g
2025071700349,0.0,4006634500.0000014,i
2025071700350,0.0,4006634500.0000014,i
2025071700351,0.0,4006634500.0000014,i
2025071700352,0.0,4006634500.0000014,i
2025071700365,80861897.47900003,4006634500.0000014,r
2025071700435,4399284.681000002,4006634500.0000014,r
