visit,impacted_area,total_area,band
2025092100175,309628707.5255002,4006634500.0000024,g
2025092000048,16134717.131500008,4006634500.0000024,g
2025091500041,369247428.8855002,4006634500.0000024,g
2025082800179,37626304.58950002,4006634500.0000024,g
2025082800191,14047260.557000007,4006634500.0000024,g
2025082800198,18939361.281500008,4006634500.0000024,g
2025082600429,0.0,4006634500.0000024,g
2025081600288,94652733.42800005,4006634500.0000024,g
2025081600338,127935846.21950005,4006634500.0000024,g
2025081600346,205652535.6160001,4006634500.0000024,g
2025072000044,449484291.3825002,4006634500.0000024,g
2025072000046,377156525.38850015,4006634500.0000024,g
2025071900145,297789102.5780002,4006634500.0000024,g
2025071800023,598543114.6860002,4006634500.0000024,g
2025071800189,407194264.23500025,4006634500.0000024,g
2025071700066,294363430.0805001,4006634500.0000024,g
2025071700064,104036271.42700005,4006634500.0000024,g
2025071700104,297320326.34150016,4006634500.0000024,g
2025071300081,284030319.70500016,4006634500.0000024,g
2025071300088,104380841.99400005,4006634500.0000024,g
2025071600158,52314626.66650002,4006634500.0000024,g
