visit,impacted_area,total_area,band
2025092100041,33795962.007500015,4006634500.0000024,i
2025092100254,35647027.146500014,4006634500.0000024,i
2025091900141,16423194.81550001,4006634500.0000024,i
2025091500161,76250261.16950005,4006634500.0000024,i
2025090600474,98599268.41050005,4006634500.0000024,i
2025082700294,86142641.75000004,4006634500.0000024,i
2025082700300,17144389.02550001,4006634500.0000024,i
2025082700324,93875446.33500005,4006634500.0000024,i
2025082600497,34885766.59150002,4006634500.0000024,i
2025082600576,34497123.04500002,4006634500.0000024,i
2025082600594,34469076.603500016,4006634500.0000024,i
2025082600597,35983584.444500014,4006634500.0000024,i
2025082600637,15513688.78400001,4006634500.0000024,i
2025081700213,14427890.834500007,4006634500.0000024,i
2025081600237,52538998.19850002,4006634500.0000024,i
2025081600266,116496904.72200006,4006634500.0000024,i
2025081600371,116593063.95000006,4006634500.0000024,i
2025081600381,49538028.95800002,4006634500.0000024,i
2025091300667,109084630.89700004,4006634500.0000024,i
2025091500167,656767527.2400002,4006634500.0000024,i
