visit,impacted_area,total_area,band
2025091100112,119630092.90100005,4006634500.0000024,r
2025090900307,79159077.81650004,4006634500.0000024,r
2025082800453,36969216.53150001,4006634500.0000024,r
2025082600194,56365334.14600003,4006634500.0000024,r
2025082600312,18438531.969000008,4006634500.0000024,r
2025082600528,18767075.99800001,4006634500.0000024,r
2025082500178,112305965.03500006,4006634500.0000024,r
2025081600314,4459384.198500002,4006634500.0000024,r
2025080600164,384821217.1870002,4006634500.0000024,r
2025080600172,379324114.65300024,4006634500.0000024,r
2025080600197,77067614.60750003,4006634500.0000024,r
2025091300094,220168572.4095001,4006634500.0000024,r
2025091300144,86731617.02150004,4006634500.0000024,r
2025091300184,380229614.05000013,4006634500.0000024,r
2025091800170,399713877.6235002,4006634500.0000024,r
2025071700115,92685475.88850005,4006634500.0000024,r
2025071300048,395526944.5710002,4006634500.0000024,r
2025090900080,15978458.386000007,4006634500.0000024,r
2025091300147,35190270.81350002,4006634500.0000024,r
2025091300610,19019493.97150001,4006634500.0000024,r
