visit,impacted_area,total_area,band
2025072300035,19588436.07050001,4006634500.0000024,u
2025072300037,32622018.099000018,4006634500.0000024,u
2025072300038,37265707.48450001,4006634500.0000024,u
2025072300049,28723562.730500013,4006634500.0000024,u
2025072300058,37393919.78850002,4006634500.0000024,u
2025072100248,729127346.3100003,4006634500.0000024,u
2025072100271,660505717.2285002,4006634500.0000024,u
2025072100283,372268431.2985002,4006634500.0000024,u
2025072100301,368898851.6840002,4006634500.0000024,u
2025072000077,204206140.5615001,4006634500.0000024,u
2025072000092,736743958.4945004,4006634500.0000024,u
2025072000093,277379306.4350001,4006634500.0000024,u
2025072000141,709783314.9440004,4006634500.0000024,u
2025071900086,691769486.2320004,4006634500.0000024,u
2025071900092,217580286.52250007,4006634500.0000024,u
2025071900099,169652924.63350007,4006634500.0000024,u
2025071800122,226182530.79400012,4006634500.0000024,u
2025071800138,748783895.1670004,4006634500.0000024,u
2025071800176,219824001.8425001,4006634500.0000024,u
2025071700159,363854498.84850013,4006634500.0000024,u
