visit,impacted_area,total_area,band
2025092100143,15545741.860000007,4006634500.0000024,z
2025092000120,16519354.043500008,4006634500.0000024,z
2025091900271,32357580.222000018,4006634500.0000024,z
2025091300680,72331772.62850004,4006634500.0000024,z
2025090400288,15986471.655000009,4006634500.0000024,z
2025082700348,79868252.12300004,4006634500.0000024,z
2025082700355,14748421.594500005,4006634500.0000024,z
2025082700357,16298989.146000009,4006634500.0000024,z
2025081600150,15894319.06150001,4006634500.0000024,z
2025072100209,15786139.930000009,4006634500.0000024,z
2025071000032,105310381.19800006,4006634500.0000024,z
